Tipo de dato;Agregados macroeconómicos;Niveles y tasas;Periodo;Total
Datos ajustados de estacionalidad y calendario;VABpb Servicios. Comercio, transporte y hostelería (G-I, CNAE 2009);Dato base;2012T2;54.884
Datos ajustados de estacionalidad y calendario;VABpb Servicios. Comercio, transporte y hostelería (G-I, CNAE 2009);Dato base;2012T1;55.430
Datos ajustados de estacionalidad y calendario;VABpb Servicios. Comercio, transporte y hostelería (G-I, CNAE 2009);Dato base;2011T4;55.564
Datos ajustados de estacionalidad y calendario;VABpb Servicios. Comercio, transporte y hostelería (G-I, CNAE 2009);Dato base;2011T3;55.878
Datos ajustados de estacionalidad y calendario;VABpb Servicios. Comercio, transporte y hostelería (G-I, CNAE 2009);Dato base;2011T2;56.008
Datos ajustados de estacionalidad y calendario;VABpb Servicios. Comercio, transporte y hostelería (G-I, CNAE 2009);Dato base;2011T1;55.933
Datos ajustados de estacionalidad y calendario;VABpb Servicios. Comercio, transporte y hostelería (G-I, CNAE 2009);Dato base;2010T4;55.629
Datos ajustados de estacionalidad y calendario;VABpb Servicios. Comercio, transporte y hostelería (G-I, CNAE 2009);Dato base;2010T3;55.225
Datos ajustados de estacionalidad y calendario;VABpb Servicios. Comercio, transporte y hostelería (G-I, CNAE 2009);Dato base;2010T2;54.734
Datos ajustados de estacionalidad y calendario;VABpb Servicios. Comercio, transporte y hostelería (G-I, CNAE 2009);Dato base;2010T1;54.668
Datos ajustados de estacionalidad y calendario;VABpb Servicios. Comercio, transporte y hostelería (G-I, CNAE 2009);Dato base;2009T4;54.586
Datos ajustados de estacionalidad y calendario;VABpb Servicios. Comercio, transporte y hostelería (G-I, CNAE 2009);Dato base;2009T3;55.241
Datos ajustados de estacionalidad y calendario;VABpb Servicios. Comercio, transporte y hostelería (G-I, CNAE 2009);Dato base;2009T2;54.945
Datos ajustados de estacionalidad y calendario;VABpb Servicios. Comercio, transporte y hostelería (G-I, CNAE 2009);Dato base;2009T1;53.735
Datos ajustados de estacionalidad y calendario;VABpb Servicios. Comercio, transporte y hostelería (G-I, CNAE 2009);Dato base;2008T4;54.543
Datos ajustados de estacionalidad y calendario;VABpb Servicios. Comercio, transporte y hostelería (G-I, CNAE 2009);Dato base;2008T3;55.851
Datos ajustados de estacionalidad y calendario;VABpb Servicios. Comercio, transporte y hostelería (G-I, CNAE 2009);Dato base;2008T2;56.421
Datos ajustados de estacionalidad y calendario;VABpb Servicios. Comercio, transporte y hostelería (G-I, CNAE 2009);Dato base;2008T1;55.538
Datos ajustados de estacionalidad y calendario;VABpb Servicios. Comercio, transporte y hostelería (G-I, CNAE 2009);Dato base;2007T4;54.409
Datos ajustados de estacionalidad y calendario;VABpb Servicios. Comercio, transporte y hostelería (G-I, CNAE 2009);Dato base;2007T3;52.874
Datos ajustados de estacionalidad y calendario;VABpb Servicios. Comercio, transporte y hostelería (G-I, CNAE 2009);Dato base;2007T2;52.788
Datos ajustados de estacionalidad y calendario;VABpb Servicios. Comercio, transporte y hostelería (G-I, CNAE 2009);Dato base;2007T1;52.120
Datos ajustados de estacionalidad y calendario;VABpb Servicios. Comercio, transporte y hostelería (G-I, CNAE 2009);Dato base;2006T4;50.707
Datos ajustados de estacionalidad y calendario;VABpb Servicios. Comercio, transporte y hostelería (G-I, CNAE 2009);Dato base;2006T3;50.488
Datos ajustados de estacionalidad y calendario;VABpb Servicios. Comercio, transporte y hostelería (G-I, CNAE 2009);Dato base;2006T2;49.591
Datos ajustados de estacionalidad y calendario;VABpb Servicios. Comercio, transporte y hostelería (G-I, CNAE 2009);Dato base;2006T1;48.822
Datos ajustados de estacionalidad y calendario;VABpb Servicios. Comercio, transporte y hostelería (G-I, CNAE 2009);Dato base;2005T4;48.159
Datos ajustados de estacionalidad y calendario;VABpb Servicios. Comercio, transporte y hostelería (G-I, CNAE 2009);Dato base;2005T3;47.232
Datos ajustados de estacionalidad y calendario;VABpb Servicios. Comercio, transporte y hostelería (G-I, CNAE 2009);Dato base;2005T2;46.468
Datos ajustados de estacionalidad y calendario;VABpb Servicios. Comercio, transporte y hostelería (G-I, CNAE 2009);Dato base;2005T1;45.872
Datos ajustados de estacionalidad y calendario;VABpb Servicios. Comercio, transporte y hostelería (G-I, CNAE 2009);Dato base;2004T4;46.149
Datos ajustados de estacionalidad y calendario;VABpb Servicios. Comercio, transporte y hostelería (G-I, CNAE 2009);Dato base;2004T3;45.260
Datos ajustados de estacionalidad y calendario;VABpb Servicios. Comercio, transporte y hostelería (G-I, CNAE 2009);Dato base;2004T2;44.605
Datos ajustados de estacionalidad y calendario;VABpb Servicios. Comercio, transporte y hostelería (G-I, CNAE 2009);Dato base;2004T1;44.078
Datos ajustados de estacionalidad y calendario;VABpb Servicios. Comercio, transporte y hostelería (G-I, CNAE 2009);Dato base;2003T4;42.870
